antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'USB-C Charging Cable'}),frozenset({'Google Phone'}),0.12248020309689134,0.0309464965225822,0.005587406199386898,0.04561885152139098,1.4741200668095695,0.0017970730201637888,1.0153736848450938,0.3665207409022484
frozenset({'USB-C Charging Cable'}),frozenset({'Vareebadd Phone'}),0.12248020309689134,0.011572711937546585,0.002062352538991353,0.016838252116220545,1.4549962193036539,0.0006449244304988283,1.0053557211618616,0.3563600409675609
frozenset({'USB-C Charging Cable'}),frozenset({'Wired Headphones'}),0.12248020309689134,0.10562271277817942,0.0011376564277588168,0.00928849233584992,0.08794029325261592,-0.011799034884957219,0.9027625906259417,-0.9219904147751528
frozenset({'Lightning Charging Cable'}),frozenset({'iPhone'}),0.1210735441640467,0.03833285697473058,0.005665865263370265,0.0467968894649139,1.2208035914401814,0.0010247704115061368,1.0088795686844034,0.20578219615220938
frozenset({'Lightning Charging Cable'}),frozenset({'Wired Headphones'}),0.1210735441640467,0.10562271277817942,0.0007229442324181644,0.0059711164599148304,0.05653250425838715,-0.01206517194785716,0.8997497980507666,-0.9499696491207489
frozenset({'Wired Headphones'}),frozenset({'iPhone'}),0.10562271277817942,0.03833285697473058,0.0025891491114511003,0.02451318512230063,0.639482341179526,-0.0014596712307578994,0.9858330511067311,-0.38663229638319896
frozenset({'Wired Headphones'}),frozenset({'Google Phone'}),0.10562271277817942,0.0309464965225822,0.00236498035721291,0.022390831432058153,0.7235336450999929,-0.0009036725564827179,0.9912483788352181,-0.29934259054075285
frozenset({'Wired Headphones'}),frozenset({'USB-C Charging Cable'}),0.10562271277817942,0.12248020309689134,0.0011376564277588168,0.01077094497798058,0.0879402932526159,-0.011799034884957219,0.8870744267449522,-0.9206107930428634
frozenset({'Wired Headphones'}),frozenset({'Vareebadd Phone'}),0.10562271277817942,0.011572711937546585,0.0008350286095372597,0.007905767496153234,0.6831387093031935,-0.0003873126195068316,0.9963038345338036,-0.3415023827186354
frozenset({'Wired Headphones'}),frozenset({'Lightning Charging Cable'}),0.10562271277817942,0.1210735441640467,0.0007229442324181644,0.006844590651031994,0.05653250425838715,-0.01206517194785716,0.8849838077326752,-0.9491348907102121
frozenset({'Apple Airpods Headphones'}),frozenset({'iPhone'}),0.08700549773869769,0.03833285697473058,0.0020903736332711265,0.024025764895330114,0.6267668728988333,-0.001244795667561617,0.9853407071982121,-0.3947602581370004
frozenset({'Bose SoundSport Headphones'}),frozenset({'Google Phone'}),0.07452490234648644,0.0309464965225822,0.001277761899157686,0.01714543540382012,0.5540347803606394,-0.0010285227321536346,0.985958185864017,-0.4651718819132128
