antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,Week of the Year
frozenset({'Bose SoundSport Headphones'}),frozenset({'Vareebadd Phone'}),0.07381193124368049,0.011122345803842264,0.0016852039096730705,0.0228310502283105,2.0527189705271898,0.0008642420859314271,1.0119822722848528,0.5537117903930131,25
frozenset({'Vareebadd Phone'}),frozenset({'Bose SoundSport Headphones'}),0.011122345803842264,0.07381193124368049,0.0016852039096730705,0.15151515151515152,2.0527189705271898,0.0008642420859314271,1.091578795319948,0.5186094069529653,25
frozenset({'Google Phone'}),frozenset({'USB-C Charging Cable'}),0.03134479271991911,0.12099764071452646,0.005055611729019211,0.16129032258064518,1.3330038637793156,0.0012629657612231344,1.0480412745326801,0.25789839944328463,25
frozenset({'USB-C Charging Cable'}),frozenset({'Google Phone'}),0.12099764071452646,0.03134479271991911,0.005055611729019211,0.04178272980501393,1.3330038637793156,0.0012629657612231344,1.0108930796905495,0.2842024539877301,25
frozenset({'Lightning Charging Cable'}),frozenset({'iPhone'}),0.1220087630603303,0.045163464779238285,0.00741489720256151,0.06077348066298343,1.3456337099035212,0.001904558729327853,1.0166200757350463,0.2925492933170476,25
frozenset({'iPhone'}),frozenset({'Lightning Charging Cable'}),0.045163464779238285,0.1220087630603303,0.00741489720256151,0.16417910447761194,1.3456337099035212,0.001904558729327853,1.0504538013385334,0.26900490966851714,25
frozenset({'USB-C Charging Cable'}),frozenset({'Vareebadd Phone'}),0.12099764071452646,0.011122345803842264,0.0016852039096730705,0.01392757660167131,1.2522157508229934,0.0003394263081970433,1.002844852701753,0.22914110429447862,25
frozenset({'Vareebadd Phone'}),frozenset({'USB-C Charging Cable'}),0.011122345803842264,0.12099764071452646,0.0016852039096730705,0.15151515151515152,1.2522157508229932,0.0003394263081970433,1.0359670663007365,0.20368098159509213,25
frozenset({'Wired Headphones'}),frozenset({'Vareebadd Phone'}),0.10212335692618807,0.011122345803842264,0.0016852039096730705,0.016501650165016504,1.483648364836484,0.0005493526192907967,1.0054695611457576,0.3630630630630631,25
frozenset({'Vareebadd Phone'}),frozenset({'Wired Headphones'}),0.011122345803842264,0.10212335692618807,0.0016852039096730705,0.15151515151515152,1.4836483648364838,0.0005493526192907967,1.0582117579084211,0.3296523517382413,25
