Date,Day of the week,Week of the year,Biweekly,Month,Quarter,Half,Year
2019-01-17,3,3,2,1,1,1,2019
2019-01-18,4,3,2,1,1,1,2019
2019-01-29,1,5,3,1,1,1,2019
2019-01-28,0,5,3,1,1,1,2019
2019-01-20,6,3,2,1,1,1,2019
2019-01-11,4,2,1,1,1,1,2019
2019-01-03,3,1,1,1,1,1,2019
2019-01-26,5,4,2,1,1,1,2019
2019-01-21,0,4,2,1,1,1,2019
2019-01-09,2,2,1,1,1,1,2019
2019-01-15,1,3,2,1,1,1,2019
2019-01-01,1,1,1,1,1,1,2019
2019-01-22,1,4,2,1,1,1,2019
2019-01-19,5,3,2,1,1,1,2019
2019-01-10,3,2,1,1,1,1,2019
2019-01-23,2,4,2,1,1,1,2019
2019-01-25,4,4,2,1,1,1,2019
2019-01-14,0,3,2,1,1,1,2019
2019-01-31,3,5,3,1,1,1,2019
2019-01-13,6,2,1,1,1,1,2019
2019-01-07,0,2,1,1,1,1,2019
2019-01-02,2,1,1,1,1,1,2019
2019-01-06,6,1,1,1,1,1,2019
2019-01-04,4,1,1,1,1,1,2019
2019-01-27,6,4,2,1,1,1,2019
2019-01-16,2,3,2,1,1,1,2019
2019-01-08,1,2,1,1,1,1,2019
2019-01-24,3,4,2,1,1,1,2019
2019-01-12,5,2,1,1,1,1,2019
2019-01-30,2,5,3,1,1,1,2019
2019-01-05,5,1,1,1,1,1,2019
2019-02-12,1,7,4,2,1,1,2019
2019-02-28,3,9,5,2,1,1,2019
2019-02-05,1,6,3,2,1,1,2019
2019-02-03,6,5,3,2,1,1,2019
2019-02-10,6,6,3,2,1,1,2019
2019-02-13,2,7,4,2,1,1,2019
2019-02-25,0,9,5,2,1,1,2019
2019-02-21,3,8,4,2,1,1,2019
2019-02-22,4,8,4,2,1,1,2019
2019-02-08,4,6,3,2,1,1,2019
2019-02-27,2,9,5,2,1,1,2019
2019-02-24,6,8,4,2,1,1,2019
2019-02-20,2,8,4,2,1,1,2019
2019-02-15,4,7,4,2,1,1,2019
2019-02-09,5,6,3,2,1,1,2019
2019-02-26,1,9,5,2,1,1,2019
2019-02-07,3,6,3,2,1,1,2019
2019-02-06,2,6,3,2,1,1,2019
2019-02-02,5,5,3,2,1,1,2019
